Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
Uusin tieto on , että 	Nordea 	aikoo lopettaa kassapalvelut Keravan , Tuusulan ja Sipoon konttoreissa . 
oletettavasti stressaavaa työtä , kun joka päivä on " niin kiire päivä " Minulla ainakin on suora numero henkilökohtaiselle pankkineuvojalleni 	Nordeaan 	, 
Kyllä 	Nordeasta 	annetaan virkailijan numero . 
Aikoinaan sain suoran numeron omalle yhdyshenkilölle 	Nordeaan 	, en ole kertaakaan soittanut , sieltä on soiteltu aina silloin tällöin . 
Tämä varmaankin pitää 	Nordean 	soittelemassa vuosittain . 
Näköjään 	Nordeassa 	myös 10 e , säästöpankissa 5 e + korkolain muk . 
No jaa , tästäkin voisi olla huolissaan , kun sekin palvelu että saa salasanalistan aina tarpeen mukaan ( siis numerolistan ) , on ilmeisesti poistumassa , kun 	Nordea 	antaa mahdollisuuden asiakkaalle tehdä itse salasanan . 
Kulutusluotoissa menee suunnilleen 	Nordean 	tahtiin . 
Aikoinaan , kun suomi meni kyykkyyn , 	Nordean 	silloinen johtaja ( mikälie ) totesi , kuten myös Björn Wahlroos , että " Köyhistä ei ole kuin harmia . 
	Nordea 	on enää hätävarana . 
Yleensä valitsen minkä tahansa muun kuin 	Nordean 	tai Sammon tilinumeron ja maksan sinne kaikki suoritukseni . 
Maksan yleensä 5-10 laskua kuukaudessa ja tietenkään ne rahat eivät mene 	Nordean 	tilille . 
Jos jokainen , joka katsoo tulleensa loukatuksi 	Nordean 	tai Sammon taholta , maksaisi laskunsa mille tahansa muulle tilille , niin hyvin äkkiä Nordea ja Sampo ryhtyisi katsomaan peiliin ja kaikenmaailman Nallet ym joutuisi potkituksi viroistaan . 
Jos jokainen , joka katsoo tulleensa loukatuksi Nordean tai Sammon taholta , maksaisi laskunsa mille tahansa muulle tilille , niin hyvin äkkiä 	Nordea 	ja Sampo ryhtyisi katsomaan peiliin ja kaikenmaailman Nallet ym joutuisi potkituksi viroistaan . 
Nimittäin , loppuisi kummasti rahantulo esim. 	Nordean 	tileille . 
noiden puheiden aikaan 	nordeaa 	ei ollut olemassakaan . 
Maksoin klo 14.00 	Nordean 	verkkopankissa laskun joka menee danske pankin tilille , niin eikö näy vastaanottajan tilillä maanantaina 9.6.2014 ? 
Halvempi maksaa 	Nordealle 	1 euro kuussa kuin ajaa puoli Suomea autolla . 
Ei 	Nordeassa 	ainakaan ole tileissä mitään kuukausimaksuja ja verkkotunnuksetkin on ilmaiset oliko se nyt 26-vuotiaaksi asti . 
	Nordeassa 	, 
	Nordeassa 	saa ilmaiset verkkopankkitunnukset vain Avainasiakas eli lainoja tai säästöjä pitää olla vähintään 30 000 € . 
S-Pankki varmaan napannut asiakkaitakin jo Handelsbankenista , 	Nordea 	/ DanskeBank on toisia vuotokohtia olleet . 
ei muuten ole ainakaan 	nordean 	ja sammon rahojen pitää olla kolmessa arkipäivässä muuta ei ole pankkilaissa . 
	Nordea 	Sampo Olen tehnyt Nordean ja Sammon välillä tilisiirtoja kumpaankin suuntaan . 
Nordea Sampo Olen tehnyt 	Nordean 	ja Sammon välillä tilisiirtoja kumpaankin suuntaan . 
Minä olen tehnyt 	Nordeaan 	, eikä todellakaan ollut seuraavana päivänä . 
kun maksoin tuotetteen tänään onko huomenna 	nordeassa 	maksu 
Osuuspankki ja 	Nordea 	ainakin hoitavat maksut päivässä . 
S-pankkiin kylläkin Mä olen siirtänyt rahaa ainakin 	Nordeasta 	S-pankkiin ja oli heti seuraavana päivänä siirrosta perillä . 
seuraavan pankkipäivän aamuna Kokemuksia on 	Nordean 	, Sampopankin , Tapiola Pankin ja S-Pankin välisistä siirroista . 
Kauanko kestää jos osuuspankilta perjaintai illalla kahdeksantienoin siirsi rahaa 	nordeaan 	? 
Tyhmäkun olen niin kysyn tämän--&gt ; mites säästöpankista siirto 	nordeaan 	? 
siirto tehtii pyhäpäivänä ( sunnuntaina ) eli lähteekö raha Maanantaina maksuun ja tiistaina tililläni 	nordeassa 	? 
Joskus siirtyy seuraavana päivänä jos siirtää pankista toiseen esim 	nordeasta 	säästöpankkiin , harvoin menee 2pankki arkipäivää .... 
Olen siirtänyt monta kertaa Osuuspankista kello 20-21 	Nordeaan 	ja rahat ovat olleet aina seuraavana aamuna Nordean tililtä nostettavissa ... 
Olen siirtänyt monta kertaa Osuuspankista kello 20-21 Nordeaan ja rahat ovat olleet aina seuraavana aamuna 	Nordean 	tililtä nostettavissa ... 
Sama toimii 	Nordeasta 	osuuspankkiin . 
Laitoin rahaa danske bankista 	nordean 	tililleni 17.4.2014 klo 19.00. Rahat olivat perillä 22.4.2014 aamulla . 
Olisi voinut aivan hyvin viedä kaksikin pankkipäivää eli rahat olisivat olleet 	Nordeassa 	vasta 23.4. Tämä varsinkin siksi että siirto tapahtui noinkin myöhään . 
Olisi voinut aivan hyvin viedä kaksikin pankkipäivää eli rahat olisivat olleet 	Nordeassa 	vasta 23.4. " EU-direktiivien mukaan SEPA-maksun pitää olla saajan tilillä seuraavana pankkipäivänä kaikkialla Euroopassa . 
Jostain luin , että esim. 	nordeassa 	sais verkkopankin , vaikka ois luottotiedoton , mutta pitääköhän paikkansa ? 
ja ennenkuin alatte rutista niin minulla on 	Nordea 	, Sampo ja Tapiola ja luottotiedot ihan kuralla . 
	Nordeasta 	ainakin saa ja muistakin pankeista . 
	Nordean 	/ Op : n / Sp : n ei ole pakko ottaa uudeksi asiakkaaksi maksuhäiriöistä henkilöä , mikä myös on aivan oikein . 
juu 	Nordeasta 	ainakin saa :)) 
	Nordeasta 	nyt saa kaikkea muutakin , vaikka on sössinyt asiat tai omissa taustoissa on asioita joilla pankki vois vähän rajottaa asiakasta . 
viestiketjun aloittaja joka kyselit tai kerroit ettö op ei myönnä verkkopankki tunnuksia niin mene 	nordeaan 	niin kyllä järjestyy omakohtainen kokemus ja saat myös halutessasi visa electronkortinkin 
Onko seuraava temppu 	Nordean 	kopiointi jossa palvelupaketit lopetetaan & asiakas maksaa hinnaston transaction maksun palveluista joita käyttää . 
Jos osuuspankkia ei olisi niin 	nordea 	olisi toinen . 
: kyllä tää on ihan ***** pankki , vaihtakaa vaikka 	Nordeaan 	Itse vaihdoin Handelsbankenin S-Pankkiin , palvelumaksuttomuuden vuoksi . 
Mulle tulee palkka osuuspankkiin 	nordeasta 	siinä klo 3-5 välillä aamuyöstä . 
laitoin eilen maksuun 	nordeasta 	nordeaan ja eräpäiväksi 24.12. .. 
laitoin eilen maksuun nordeasta 	nordeaan 	ja eräpäiväksi 24.12. .. 
itekkin maksoin jo viime perjantaina 	Nordeasta 	Nordeaan eikä vieläkään näy että olis maksettu :(( 
itekkin maksoin jo viime perjantaina Nordeasta 	Nordeaan 	eikä vieläkään näy että olis maksettu :(( 
22.1	nordeasta 	nordeaan 50e nyt 30.12-13 eikä ollut vielä klo 7.05 ainakaan , hieno meininki !! 
22.10 nordeasta 	nordeaan 	50e nyt 30.12-13 eikä ollut vielä klo 7.05 ainakaan , hieno meininki !! 
Olen siirtänyt tänään aamupäivällä säästöpankista 	nordean 	tilille rahaa .. 
ovatko rahat jo huomenna 	nordean 	tilillä vai vasta keskiviikkon ? 
	Nordean 	ja osuuspankin välillä rahaliikenne liikkuu nopeasti nykyään ... 
Meilläkinpäin ensin lähti nurkalta 	Nordean 	pankkikonttori , ei edes nosto- tai maksuautomaatteja jäänyt rakennukseen !. 
Samoin siellä on 	Nordean 	maksuautomaatti + nettipalvelukone , sekä OTTO-automaatti sisällä ja ulkona . 
	Nordean 	ja OP : n asiakkaat voivat tehdä sen , googlaa lisätietoja . 
.. myös 	Nordean 	Mastercardilla . 
asian tekee vaikeamaksi 	nordean 	tapa ... 
eli arvaa satunnaisesti joku käyttäjätuunus , 	nordean 	verkkopankin avainlukulistasta joku numero ja maksun suortiiamisen jälkeen joku kirjainlukupari . 
Siirsin myös silloin 23.12 DanskeBankista pari kymppiä 	Nordeaan 	ja se oli tilillä jo 27.12. S-pankista jos maksaisi esim. vuokran 1. päivä , niin kerkeäisi jo häätö tulla ennen kuin olisi vuokranantajan tilillä . 
Ainakaan op ja 	nordea 	ei peri kuin perusmaksut kortista . 
	Nordea 	on ymmärtääkseni siirtymässä verkkopankissa maksujen määrään perustuvaan kk-maksuu . 
Siirsin nyt perjantaina kello 17.30 	nordeasta 	rahaa danske bankiin , ehtiikö perille maanantaiksi ? 
Itsellä on kokemusta yksityishenkilönä 	Nordeasta 	ja S-Pankista . 
En edes muista 	Nordean 	kellonaikaa enää , mutta löysin S-Pankin osalta netistä tällaisen dokumentin https://online.s-pankki.fi/help/payment/sepapaymentinfo_fi.html : " Voit tallentaa SEPA-maksuja mihin vuorokauden aikaan tahansa . 
S-Pankin sivut ovat todella hyvät monessa mielessä Kaikkien pankkien pitäisi tehdä sellaiset , Tapiolasta en tiedä , mutta tiedän 	Nordean 	, Sammon ja Op sivut , kaikkien kannattaisi teettää Sivunsa samala tekijällä kuin S-pankkikin . 
	Nordeassakin 	saa vanhoja tilitietoja , mutta tulevat jotain 10 riviä sivulle , siinä pitää olla tarkkana kun ne kopioi , kymmenemiä sivuja . 
esim 	Nordeassa 	esitetty luvut tuolla tavoin 18.702,00+ , eli joka luvusta pitää poistaa PISTE ja + Merkki , E xc 
Jos laitan oman luottokiellon niin voinko tilata 	nordean 	visa-electron kortilla iherbistä ? 
Minä kyllä olisin halunnut korttini kotiin , mutta niin 	Nordea 	kuin OP : kin vaativat saapumista konttorille henkkareiden kanssa . 
Jos laitan oman luottokiellon niin voinko tilata 	nordean 	visa-electron kortilla iherbistä ? 
S-Pankki on merkittävän määrän asiakkuuksia napanneet mutta myös 	Nordea 	/ OP menettää asiakkuuksia jatkuvasti . 
21.12 Siirsin 	Nordean 	tililtä rahaa S-pankin tilille . 
	Nordean 	tilille ei ole korttia . 
Sanoin , kesti 6 päivää saada 	Nordeantililtä 	, jossa rahaa on mutta ei korttia-&gt ; S-tilille jossa kortti rahat . 
Pankit olivat muuten auki vielä 23.12. joten olisit kyllä ehtinyt hakea käteistä 	Nordean 	tiskiltä . 
	Nordean 	konttori 30 km päässä . 
Tili 	Nordeassa 	on jäänne vanhasta , typeryyttä kylläkin . 
Siis se selvennykseksi kokemuksesta , sama aika menee siirtääkö S-pankin tililtä 	Nordean 	tilille rahaa sillä ei eroa . 
Tällä tavoin omat kuluni ( 0,00 e ) ovat olleet OP:ssa huomattavasti pienemmät kuin maksussa kruunuina ja koska ainakaan Ruotsissa 	Nordea 	ei peri ylimääräisiä kuluja , tämä on ollut myös maksun saajalle sopiva tapa . 
Joku ne maksaa 	Nordea 	tarjoaa mahdollisuuden maksaa itse kulut tai maksattaa vastaanottajalla . 
	Nordea 	otti Ruostiin tehdystä maksusta 26,75€ . 
.. Ruotsiin ( 	Nordea 	) olen maksanut jo vuosia ilmaiseksi SEPA-maksuina . 
Rahat meni 	Nordeasta 	, mutta vastaanottajan tilille ne eivät vieläkään ole tulleet . 
Itse olen tehnyt muutamaan otteeseen 	Nordean 	tililtä Sveitsiin UBS : n tilille ja on kestänyt 2-3 päivää . 
Näin 	Nordea 	mainostaa itseään . 
Et kuulu 	Nordean 	tavoiteasiakaisiin . 
Danske & 	Nordea 	on lopettelemasta pienasiakasliiketoimintaa .... 
Miksi ihmiset eivät vaihda sitä 	Nordeaa 	pois ? 
Nykyinen 	Nordean 	hallituksen puheenjohtaja , kaikkien tuntemamme Nalle , onkin aikoinaan sanonut , että " tavalliset pankkiasiakkaat tuovat vain hiekkaa pankkisalin lattialle " . 
Moi , Kyllä nuo rahalaitokset : ensin SYP , Merita , 	Nordea 	odottivat kiltisti… . 
LAINATKAA SITÄ RAHAA 	NORDEA 	!!! 
http://www.talouselama.fi/uutiset/karu+uusi+suomiluku+pyorean+nollakasvun+aika+kestaa+yli+vuosikymmenen/a2280365 Suomen talous supistuu ensi vuonna neljättä vuotta peräkkäin , arvioi 	Nordea 	pankki tänään julkaisemassaan talousennusteessaan . 
" Ajanjakso , jonka keskimääräinen talouskasvu asettuu pyöreäksi nollaksi , venyy yli vuosikymmenen mittaiseksi " , tarkentaa 	Nordea 	, 
	Nordean 	arvion mukaan työttömyysaste nousee vuosina 2015-2015 yhdeksään prosenttiin . 
	Nordean 	ennusteen lukeminen pudottaa kyllä maan pinnalle . 
Rakennuslupien kuutiot pomppasivat yllättäen 20% http://www.talouselama.fi/uutiset/mitas+nyt+rakennuslupien+kuutiot+pomppasivat+yllattaen+20/a2228137 Katainen vahvistaa Ylellä 3 miljardin lisäleikkaukset : " On välttämätöntä hoitaa Suomi kuntoon " http://www.talouselama.fi/uutiset/katainen+vahvistaa+ylella+3+miljardin+lisaleikkaukset+on+valttamatonta+hoitaa+suomi+kuntoon/a2 28116 	Nordean 	pääekonomisti varoittaa : " Köyhtymisemme on alkanut " http://www.iltalehti.fi/talous/2014012417972017_ta.shtml Karmea käyrä Suomen talouden tilasta : " Köyhtymisemme on alkanut " http://www.iltasanomat.fi/kotimaa/art-1288645689102.html Kiinteistönvälittäjiä on selvästi liikaa http://www.kauppalehti.fi/etusivu/kiinteistonvalittajia+on+selvasti+liikaa/201401608653 Perheasunnoissa on ostajan markkinat http://www.taloussanomat.fi/asuminen/2014/01/28/hs-perheasunnoissa-on-ostajan-markkinat/20141314/310 
http://www.talouselama.fi/uutiset/tassa+on+asuntomarkkinoiden+musta+pekka++kuin+yrittaisi+myyda+nmtpuhelinta/a2229251 Wärtsilä suunnittelee vähentävänsä 200 työpaikkaa http://www.iltalehti.fi/talous/2014012917988058_ta.shtml 2013 oli tyhjien taskujen vuosi – lisää konkursseja , saneerauksia ja velkajärjestelyjä http://yle.fi/uutiset/2013_oli_tyhjien_taskujen_vuosi__lisaa_konkursseja_saneerauksia_ja_velkajarjestelyja/7057972 Ikkunavalmistaja Fenestra hakeutui konkurssiin Työntekijöitä on Suomessa 335. http://www.iltalehti.fi/talous/2014012817984112_ta.shtml Konkurssit lisääntyivät selvästi etenkin ravintola-alalla http://www.taloussanomat.fi/yrittaja/2014/01/29/konkurssit-lisaantyivat-selvasti-etenkin-ravintola-alalla/20141404/137 Jättituloksen tehnyt 	Nordea 	ryhtyy uusiin massiivisiin kululeikkauksiin http://www.talouselama.fi/uutiset/jattituloksen+tehnyt+nordea+ryhtyy+uusiin+massiivisiin+kululeikkauksiin/a2228953 Työpaikat tai palkat – mankeli odottaa hurri/2014/01/29/tyopaikat-tai-palkat-mankeli-odottaa/20141347/170 " title= " http://www.taloussanomat.fi/jan-hurri/2014/01/29/tyopaikat-tai-palkat-mankeli-odottaa/20141347/170 " > http://www.taloussanomat.fi/jan-hurri/2014/01/29/tyopaikat-tai-palkat-mankeli-odottaa/20141347/170 Velkajärjestelyä hakeneiden määrä kasvoi , sinkkutaloudet suurimmissa ongelmissa http://www.hs.fi/kotimaa/Velkaj%C3%A4rjestely%C3%A4+hakeneiden+m%C3%A4%C3%A4r%C3%A4+kasvoi+sinkkutaloudet+suurimmissa+ongelmissa a1390963691340 Ahlstrom laajentaa säästöjään – väki voi vähentyä 400 : lla http://www.taloussanomat.fi/porssi/2014/01/30/ahlstrom-laajentaa-saastojaan-vaki-voi-vahentya-400lla/20141491/170 Suomen vienti sukelsi taas marraskuussa : - 5% http://www.talouselama.fi/uutiset/suomen+vienti+sukelsi+taas+marraskuussa+5/a2224295 Aurinkomatkat lopettaa Turussa ja Tampereella – 30 : lle potkut http://www.taloussanomat.fi/yritykset/2014/01/31/aurinkomatkat-lopettaa-turussa-ja-tampereella-30lle-potkut/20141547/12 Tällaista ei ole tapahtunut " yli 15 vuoteen " : suomalaisten asuntolainavuori alkoi supistua http://www.talouselama.fi/uutiset/tallaista+ei+ole+tapahtunut+yli+15+vuoteen+suomalaisten+asuntolainavuori+alkoi+supistua/a22297 4 Asuntolainoja 200 miljoonaa vähemmän kuin viime vuonna http://www.hs.fi/talous/Asuntolainoja+200+miljoonaa+v%C3%A4hemm%C3%A4n+kuin+viime+vuonna/a1391139574376 Stockmann aloittaa yt-neuvottelut – 250 työpaikkaa vaarassa http://www.taloussanomat.fi/porssi/2014/02/03/stockmann-aloittaa-yt-neuvottelut-250-tyopaikkaa-vaarassa/20141628/170 Täällä asuntojen arvo laski eniten – katso 100 osoitetta http://www.taloussanomat.fi/asuminen/2014/02/03/taalla-asuntojen-arvo-laski-eniten-katso-100-osoitetta/20141575/310 " Elämme epätoivoista aikaa , mikä vaatii epätoivoisia tekoja " http://www.taloussanomat.fi/kansantalous/2014/02/02/elamme-epatoivoista-aikaa-mika-vaatii-epatoivoisia-tekoja/20141610/12 " Tilanne on niin paljon heikompi kuin yksikään analyytikko on arvioinut " http://www.talouselama.fi/uutiset/katainen+otti+kantaa+urpilaisen+talouslinjauksiin++yle+tilanne+on+niin+paljon+heikompi+kuin+yk ikaan+analyytikko+on+arvioinut/a2230059 
http://www.tekniikkatalous.fi/rakennus/kosteusvaurioiden+maara+kasvaa+ndash+arvaatko+mitka+ovat+yleisimmat+ongelmakohteet/a97900 Sonera aikoo vähentää 80 työpaikkaa http://www.taloussanomat.fi/porssi/2014/04/02/sonera-aikoo-vahentaa-80-tyopaikkaa/20144685/170 	Nordea 	aloittaa yt : t – jopa 300 voi saada potkut http://www.taloussanomat.fi/porssi/2014/04/02/nordea-aloittaa-ytt-jopa-300-voi-saada-potkut/20144693/170 Maaliskuu pahin konkurssikuukausi vuosiin . 
http://www.taloussanomat.fi/liikenne/2014/06/16/vrn-lipunmyyjilta-loppuvat-tyot-11-paikkakunnalla/20148490/12 	Nordean 	henkilöstö väsyi jatkuviin yt-neuvotteluihin : " Pelkona henkilökunnan vaihtoviikot " http://yle.fi/uutiset/nordean_henkilosto_vasyi_jatkuviin_yt-neuvotteluihin_pelkona_henkilokunnan_vaihtoviikot/7301990 Kesko sulkee neljä Kodin1-tavarataloa yt-neuvottelujen päätteeksi . 
http://www.taloussanomat.fi/tyomarkkinat/2014/08/29/tutkija-suomessa-on-jo-suurtyottomyys/201412039/12 Ansiosidonnainen hupenee Nokia-työttömiltä - Espoo vaikeuksissa http://www.tekniikkatalous.fi/tyo/hs+ansiosidonnainen+hupenee+nokiatyottomilta++espoo+vaikeuksissa/a1007768 Finnair ulkoistaa matkustamopalveluita - henkilöstövaikutus 100+80 http://www.talouselama.fi/uutiset/finnair+ulkoistaa+matkustamopalveluita++henkilostovaikutus+10080/a2263595 	Nordea 	vähentää rankasti kassapalveluita – nyt vuorossa kehyskunnat http://www.taloussanomat.fi/porssi/2014/09/01/nordea-vahentaa-rankasti-kassapalveluita-nyt-vuorossa-kehyskunnat/201412105/170 SOK vähentää 110 työntekijää http://www.taloussanomat.fi/kauppa/2014/09/01/sok-vahentaa-110-tyontekijaa/201412103/12 Veho aloittaa yt-neuvottelut : yli sata voi joutua lähtemään http://www.taloussanomat.fi/autot/2014/09/02/veho-aloittaa-yt-neuvottelut-yli-sata-voi-joutua-lahtemaan/201412199/304 " Valitettavasti Eurooppaan tulee pitkä taantuma " http://www.taloussanomat.fi/porssi/2014/09/02/valitettavasti-eurooppaan-tulee-pitka-taantuma/201412177/170 Altia aloittaa yt : t – 120 työpaikkaa vaarassa http://www.taloussanomat.fi/tyomarkkinat/2014/09/02/altia-aloittaa-ytt-120-tyopaikkaa-vaarassa/201412170/12 Lamasta puhunut Nordea jatkaa synkällä linjalla : Vain ihme voi kääntää Suomen plussalle http://yle.fi/uutiset/lamasta_puhunut_nordea_jatkaa_synkalla_linjalla_vain_ihme_voi_kaantaa_suomen_plussalle/7448714 Nordea : Suomi häädetään AAA-luokasta ensi vuonna http://www.kauppalehti.fi/etusivu/nordea+suomi+haadetaan+aaa-luokasta+ensi+vuonna/201409697070 Haaveista totta : rantamökin saa yhä halvemmalla http://www.kauppalehti.fi/etusivu/haaveista+totta+rantamokin+saa+yha+halvemmalla/201409697051 KSF Median yt-neuvottelut : lähes 50 lähtee http://www.kauppalehti.fi/etusivu/ksf+median+yt-neuvottelut+lahes+50+lahtee/201409697011 Nyt alkoi mökkiale ! 
http://www.taloussanomat.fi/tyomarkkinat/2014/08/29/tutkija-suomessa-on-jo-suurtyottomyys/201412039/12 Ansiosidonnainen hupenee Nokia-työttömiltä - Espoo vaikeuksissa http://www.tekniikkatalous.fi/tyo/hs+ansiosidonnainen+hupenee+nokiatyottomilta++espoo+vaikeuksissa/a1007768 Finnair ulkoistaa matkustamopalveluita - henkilöstövaikutus 100+80 http://www.talouselama.fi/uutiset/finnair+ulkoistaa+matkustamopalveluita++henkilostovaikutus+10080/a2263595 Nordea vähentää rankasti kassapalveluita – nyt vuorossa kehyskunnat http://www.taloussanomat.fi/porssi/2014/09/01/nordea-vahentaa-rankasti-kassapalveluita-nyt-vuorossa-kehyskunnat/201412105/170 SOK vähentää 110 työntekijää http://www.taloussanomat.fi/kauppa/2014/09/01/sok-vahentaa-110-tyontekijaa/201412103/12 Veho aloittaa yt-neuvottelut : yli sata voi joutua lähtemään http://www.taloussanomat.fi/autot/2014/09/02/veho-aloittaa-yt-neuvottelut-yli-sata-voi-joutua-lahtemaan/201412199/304 " Valitettavasti Eurooppaan tulee pitkä taantuma " http://www.taloussanomat.fi/porssi/2014/09/02/valitettavasti-eurooppaan-tulee-pitka-taantuma/201412177/170 Altia aloittaa yt : t – 120 työpaikkaa vaarassa http://www.taloussanomat.fi/tyomarkkinat/2014/09/02/altia-aloittaa-ytt-120-tyopaikkaa-vaarassa/201412170/12 Lamasta puhunut 	Nordea 	jatkaa synkällä linjalla : Vain ihme voi kääntää Suomen plussalle http://yle.fi/uutiset/lamasta_puhunut_nordea_jatkaa_synkalla_linjalla_vain_ihme_voi_kaantaa_suomen_plussalle/7448714 Nordea : Suomi häädetään AAA-luokasta ensi vuonna http://www.kauppalehti.fi/etusivu/nordea+suomi+haadetaan+aaa-luokasta+ensi+vuonna/201409697070 Haaveista totta : rantamökin saa yhä halvemmalla http://www.kauppalehti.fi/etusivu/haaveista+totta+rantamokin+saa+yha+halvemmalla/201409697051 KSF Median yt-neuvottelut : lähes 50 lähtee http://www.kauppalehti.fi/etusivu/ksf+median+yt-neuvottelut+lahes+50+lahtee/201409697011 Nyt alkoi mökkiale ! 
